sex,year,title,school_id,yearofphd,phd_id,business,basesalary,othersalary,salary,micro,macromoney,metrics,labor,io,public,enviroenergy,develop,intl,finance,health,expbehave,political,urban,econhist,educ,firstname,lastname,i_tenure
Male,2018,Professor,242,1996,141,0,305000,0,305000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1,1
Male,2018,Professor,242,1997,264,0,305000,0,305000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,151,2,1
Male,2018,Professor,135,1973,98,0,2e+05,0,2e+05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,755,3,1
Female,2018,Assistant Professor,185,2013,41,0,140128.41,0,140128.40625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0
Male,2012,Assistant Professor,225,2006,261,0,98599.98,0,108099.9921875,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,368,5,0
Male,2018,Associate Professor,136,2001,41,0,153379,153379,153379,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,126,6,1
Male,2018,Professor,220,2004,197,0,274342,1754,276062.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7,1
Male,2019,Professor,11,1990,136,1,175008,0,175008,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,657,7,1
Male,2018,Assistant Professor,261,2014,171,0,147900,0,147900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,8,0
Male,2011,Professor,228,1981,41,0,202899.99,0,190658.34375,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,374,9,1
Male,2013,Professor,229,1971,135,0,227827.96,0,226773.953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,10,1
Male,2018,Associate Professor,105,2004,264,0,168500,0,168500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,607,11,1
Male,2018,Associate Professor,105,2007,220,0,201765,0,201765,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,157,12,1
Male,2004,Professor,111,1965,264,1,104427,0,104427,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,755,13,1
Male,2017,Assistant Professor,229,2014,266,0,122142.96,0,122224.7265625,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,674,14,0
Male,2018,Assistant Professor,228,2011,61,0,137133,0,133783,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,201,15,0
Male,2003,Assistant Professor,159,2000,171,0,70092,0,70092,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,252,16,0
Male,2017,Professor,108,1984,61,0,160422.4,0,163160.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,508,17,1
Male,2013,Assistant Professor,226,2007,197,0,116158,26578,127846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,18,0
Female,2018,Professor,139,1978,220,0,164069,0,164069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,19,1
"",2010,Professor,209,1967,105,0,87120,0,87120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,19,1
Male,2018,Professor,139,2003,141,0,301503,0,301503,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,461,21,1
Male,2018,Professor,111,1985,105,1,250693,0,250693,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,588,22,1
Male,2018,Assistant Professor,105,2010,103,0,142000,0,142000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,578,23,0
Female,2018,Associate Professor,136,1980,171,0,115595,115595,115595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,24,1
Male,2018,Associate Professor,209,2011,114,0,157635,0,157635,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,781,25,1
Male,2010,Professor,11,1979,155,1,119957,0,119957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,26,1
Male,2016,Professor,209,1980,141,0,101934,0,101934,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,27,1
Male,2012,Professor,220,1977,264,0,192050.04,26513.880859375,203345.015625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,608,27,1
Male,2019,Professor,248,1985,178,0,310500,0,310500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,674,27,1
Male,2018,Associate Professor,136,2008,135,0,161920,161920,161920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,679,27,1
Male,2018,Professor,226,1986,135,0,285567,25001,307383.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,324,28,1
Female,2018,Associate Professor,242,2005,233,0,191500,0,191500,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,462,29,1
Female,2018,Associate Professor,48,2007,197,0,157272,0,157272,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,234,30,1
Male,2018,Assistant Professor,185,2017,149,0,147951.26,0,147951.265625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,31,0
Male,2012,Assistant Professor,261,2005,220,0,130000,0,130000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,32,0
Female,2008,Assistant Professor,139,2004,61,0,118000,0,118000,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,144,33,0
Male,2018,Professor,225,1975,264,0,283900,13063,287316.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,607,34,1
Female,2018,Assistant Professor,222,2016,165,0,48533,0,121983,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,739,35,0
Male,2018,Assistant Professor,10,2014,264,1,130000,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,134,36,0
Male,2014,Assistant Professor,135,2007,220,0,123291,0,123291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,592,37,0
Male,2018,Professor,128,2004,171,0,208566.39,0,208566.390625,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,633,38,1
Male,2019,Assistant Professor,248,2010,170,0,140000,0,140000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,246,39,0
Male,2016,Professor,223,2004,98,0,308417,85808,317717,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,362,40,1
Male,2018,Assistant Professor,261,2014,41,0,133620,0,133620,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,502,41,0
Male,2018,Professor,223,1988,197,0,411950,137216,444479.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,44,42,1
Male,2019,Associate Professor,11,2012,61,1,177984,0,177984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,207,43,1
Male,2018,Professor,220,1978,98,0,392227,100997,394153,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,44,1
Male,2010,Professor,209,1973,41,0,130293,0,130293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,45,1
Male,2009,Professor,128,1984,197,0,182903.12,0,182903.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,46,1
Male,2018,Associate Professor,159,2008,207,0,180744,0,180744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,47,1
Female,2010,Assistant Professor,242,2004,184,1,111500,0,111500,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,475,48,0
Male,2010,Associate Professor,159,1972,236,0,66648,0,66648,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,88,49,1
Male,2011,Assistant Professor,227,2005,226,0,94625.01,0,88520.8515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,50,0
Male,2017,Assistant Professor,229,2017,214,0,66000.48,0,132125.765625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,0
Male,2011,Assistant Professor,135,2007,264,0,119750,0,119750,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,52,0
Male,2015,Professor,105,1958,98,0,175000,43750,175000,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,753,53,1
Female,2010,Assistant Professor,11,2005,139,1,103301,0,103301,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,765,54,0
Female,2018,Professor,135,2005,245,0,281000,0,281000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,481,55,1
Male,2018,Professor,136,1978,123,0,227747,227747,227747,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,607,56,1
Male,2018,Professor,236,1997,139,0,7168,0,64512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,564,57,1
Male,2015,Professor,11,1989,111,1,290000,0,290000,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,601,58,1
Male,2018,Assistant Professor,242,2012,264,0,150000,0,150000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,368,59,0
Male,2018,Professor,136,1983,197,0,166424,166424,166424,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,120,61,1
Male,2004,Professor,209,1979,171,0,173420.1,0,173420.09375,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,79,62,1
Male,2018,Professor,225,1981,196,0,146475,30636,148787.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,63,1
Male,2015,Professor,176,2003,225,1,165528.27,165528.27,129359.8359375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,780,64,1
Male,2018,Assistant Professor,223,2015,98,0,79167,21111,174550.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,157,65,0
Male,2018,Assistant Professor,48,2011,128,0,117228,0,117228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,66,0
Male,2018,Assistant Professor,136,2015,49,0,129203,129203,129203,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,579,67,0
Male,2018,Assistant Professor,209,2015,248,0,145593,0,145593,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,44,68,0
Male,2017,Professor,176,1975,27,1,247534.5,0,247637.765625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362,69,1
Male,2011,Professor,135,1985,141,0,172650,0,172650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,70,1
Male,2017,Assistant Professor,135,2015,220,0,140300,0,140300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,173,71,0
Male,2018,Assistant Professor,105,2017,141,0,138000,0,138000,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19,72,0
Male,2014,Professor,236,1961,41,0,13692,0,123228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,787,73,1
Male,2006,Assistant Professor,242,2005,171,0,85000,0,85000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,240,74,0
Male,2006,Assistant Professor,139,1998,41,0,91060,0,91060,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,75,0
Male,2004,Professor,135,1992,98,0,157750,0,157750,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,76,1
Male,2018,Assistant Professor,225,2015,136,0,114858,0,117325,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,508,77,0
Male,2004,Professor,209,1970,176,0,182355.92,0,182355.921875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,602,78,1
Female,2018,Assistant Professor,223,2015,98,0,58333,15556,128641.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,536,79,0
Male,2018,Associate Professor,226,2007,264,0,161225,0,143237.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,97,80,1
Male,2017,Professor,108,1978,184,0,231941.6,0,231720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,81,1
Female,2018,Professor,227,1996,178,0,190425,32700,193479,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,400,82,1
Male,2018,Associate Professor,185,2011,207,1,231750,0,231750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,83,1
Male,2006,Professor,229,1963,135,0,25000.02,0,25000.01953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,84,1
Male,2018,Assistant Professor,209,2013,212,0,140445,0,140445,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,569,85,0
Male,2018,Assistant Professor,227,2016,220,0,67792,68700,142725.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,788,86,0
Male,2018,Professor,105,1983,14,0,173000,0,173000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,87,1
Male,2018,Professor,221,1996,264,0,192563,0,201485.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,566,88,1
Female,2018,Assistant Professor,135,2017,220,0,160000,0,160000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,422,89,0
Male,2018,Professor,227,1967,197,0,260792,22011,264979.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,713,90,1
Male,2018,Professor,226,1993,98,0,244200,89392,250771,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,189,91,1
Male,2018,Professor,105,1986,33,0,223000,0,223000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,478,92,1
Male,2017,Professor,108,2008,245,0,124253.4,0,125073.8984375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,528,93,1
Male,2006,Professor,128,1969,261,0,152400,0,152400,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,614,94,1
Male,2019,Assistant Professor,248,2015,227,0,141000,0,141000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,797,95,0
Male,2018,Professor,226,1990,178,0,217983,74333,222637.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,381,96,1
Male,2018,Assistant Professor,139,2014,149,0,138778,0,138778,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,49,97,0
Male,2018,Associate Professor,226,2009,264,0,183300,25284,186233.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,580,98,1
Male,2018,Professor,242,1988,165,0,248167,0,248167,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,740,99,1
Male,2018,Assistant Professor,242,2010,175,0,143500,0,143500,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,646,100,0
Male,2013,Assistant Professor,261,2011,128,0,119180,0,119180,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,329,101,0
Male,2019,Associate Professor,11,2009,94,1,180209,0,180209,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,19,102,1
Male,2016,Professor,185,1967,149,1,152223.96,0,152223.953125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,324,103,1
Male,2018,Professor,136,1985,61,0,166250,166250,166250,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,334,104,1
Male,2018,Assistant Professor,223,2012,149,0,175808,0,192262,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,634,105,0
Male,2017,Professor,229,1988,226,0,250311.58,0,243422.765625,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,245,106,1
Female,2017,Assistant Professor,261,2011,197,0,120372,0,120372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,107,0
Male,2010,Assistant Professor,222,2005,10,0,99600,-5312,99600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,108,0
Male,2018,Associate Professor,227,2004,41,0,126542,21165,128562.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,109,1
Female,2019,Assistant Professor,11,2008,61,1,142577,0,142577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,400,110,0
Female,2018,Professor,221,1998,141,0,213707,1634,215590.5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,473,111,1
Female,2018,Professor,242,1997,98,0,341666,0,341666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,639,112,1
Male,2007,Professor,229,1965,264,0,64200.02,0,65450.01171875,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,684,112,1
Male,2017,Professor,185,1976,264,0,216135.28,0,216135.28125,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,179,113,1
Male,2006,Professor,11,1977,195,1,203542,0,203542,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,114,1
Female,2011,Assistant Professor,248,2004,261,0,93000,0,93000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,196,115,0
Male,2018,Assistant Professor,135,2015,149,0,152000,0,152000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,383,116,0
Male,2017,Professor,159,1980,261,0,276264,0,276264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,117,1
Male,2018,Associate Professor,135,2002,141,0,225000,0,225000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,143,118,1
Male,2018,Associate Professor,159,2010,61,0,148824,0,148824,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,328,119,1
Male,2018,Professor,10,1989,226,1,301240,0,301240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,120,1
Male,2018,Professor,223,2004,197,0,310700,130003,313666.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,674,121,1
Male,2018,Assistant Professor,242,2016,135,0,136500,0,136500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129,122,0
Male,2018,Associate Professor,222,2003,223,0,167650,0,171637.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,151,123,1
Male,2018,Professor,227,1986,197,0,205033,110333,211675,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,288,124,1
Male,2018,Assistant Professor,221,2014,212,0,140411,0,143285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,125,0
Male,2018,Professor,48,1994,178,0,157959,0,157959,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,482,126,1
Male,2006,Professor,139,1987,184,0,207684,0,207684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,510,127,1
Male,2018,Professor,221,1985,123,0,224708,0,227533.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,256,128,1
Male,2015,Professor,176,2012,24,1,149174.17,149174.17,153908.53125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,721,129,1
Male,2018,Assistant Professor,226,2015,220,0,150800,51433,154146,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,378,130,0
Male,2018,Professor,185,1972,41,0,272053.43,0,272053.4375,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,508,131,1
Male,2017,Professor,135,1987,123,0,286500,0,286500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,132,1
Male,2018,Assistant Professor,105,2014,220,0,134000,0,134000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,478,133,0
Male,2004,Professor,135,1987,98,0,210000,0,210000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,362,134,1
Female,2018,Associate Professor,226,2008,89,0,266475,90867,271633.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,605,135,1
Female,2018,Associate Professor,242,2001,171,0,143341,0,143341,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,701,136,1
Male,2018,Professor,136,1975,135,0,138873,138873,138873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,137,1
Male,2010,Professor,11,1974,45,1,136884,0,136884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,138,1
Male,2006,Professor,11,1971,139,1,137378,0,137378,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,370,139,1
Male,2010,Professor,11,1971,139,1,139496,0,139496,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,371,139,1
Male,2017,Professor,222,2001,161,0,196608,103193,199100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,140,1
Female,2010,Assistant Professor,10,2006,200,1,95000,0,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,141,0
Male,2018,Professor,185,1979,49,1,288223.68,0,288223.6875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,318,142,1
Male,2018,Associate Professor,236,1982,197,0,12018,0,108162,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,572,143,1
